Year	Subject_Code	Subject_Name
I	25BC112	Object Oriented Programming
I	25BC113	Data Structures
I	25BC114	Discrete Mathematics
I	25BC115	Computer Organization
I	25BC116	Introduction to Cyber Security
I	25BC117	Data visualization Laboratory
I	25BC118	Soft skills laboratory
I	25BC119	Indian Knowledge System
II	22BC207	Software Engineering
II	22BC208	Computer Networks
II	22BC209	Web Application Development
II	22BC210	Organization Behavior
II	22BC211	Quantitative Aptitude and Logical Reasoning
II	22BC212	Technical Seminar
II	22BC213	"NCC/ NSS/ SAC/ E-cell/ Student Mentoring/ Social activities. 
These credits maybe earned on or before the end of IV semester"
III	22BC803	Big data Analytics
III	22BC811	Cloud Computing
III	22BC305	Project Work
